text,score,match_type,team,label
"Ravindra Jadeja had a day to remember. He contributed with bat, ball and on the field to help India to a big win. The England chase never really got going. Bhuvaneshwar Kumar was the star early on. His 10 over spell right at the top ensured that England were always on the backfoot. On a track that was aiding the spinners, his spell of 3/30 was worth its weight in gold. Kevin Pietersen was the only batsman who looked in any sort of comfort but after his dismissal the Indian spinners got stuck in and never let the pressure off.",India won by 127 runs,ODI,India vs England,3
"It has been a professional batting performance from India. Rohit Sharma surprised one and all by responding to his skipper's call. He played a lot of wonderful strokes and missed out on a well-deserved hundred, courtesy a poor decision. England will rue the missed chance when Raina was caught at slip, but Finn had knocked off the bails and it was called a dead ball. Raina was on 42 then and it could have been the turning point. As far as the England bowling is concerned, it was Tredwell again who chipped in with the wickets. But Dernbach and Bresnan could do little. Except Finn, all the bowlers were expensive which did not help.",India won by 5 wkts,ODI,India vs England,3
"This win will restore some pride for England. Ian Bell was clinical in the chase. India fought hard with the ball. Ishant Sharma, Bhuvaneshwar Kumar and Ravindra Jadeja were impressive but the score was just not big enough to defend. The game was heading for a tight finish going into the last 10 overs but the dominant stand between Eoin Morgan and Ian Bell sealed it for England. They will be elated to go home on a winning note.",England won by 7 wkts,ODI,India vs England,3
"A straightforward win for the hosts despite missing many of their batting stars. A superb century from Hughes and outstanding batting efforts from Bailey and Hussey set them up for a huge score on the board. The bowlers then stood up, Tharanga and Mahela were dismissed cheaply, Dilshan and Chandimal steadied the ship before the calamitous run-out of Dilshan started the slide. Chandimal fought bravely for his 73 but got zero support at the other end. Australia go to Adelaide with a 1-0 lead.",Australia won by 107 runs,ODI ,Australia vs Sri Lanka,3
"Kushal Perera and Dilshan started the chase off well but they stuttered when the spinners came on to bowl. Doherty and Maxwell stifled the scoring rate as they picked up wickets at regular intervals. However, Mathews steadied the ship and Thisara Perera supported him well. Thisara finished off the game with a couple of sixes to help Sri Lanka go 1-0 up in the two match series.",Sri Lanka won by 5 wkts,T20,Australia vs Sri Lanka,2
A nail-biting game this. The revised target seemed to favour Australia but Sri Lanka's bowlers held their nerves and clinched the win. Bailey and Marsh got a few boundaries and took Australia to the last over. Glenn Maxwell hit consecutive fours and threatened to take the game away but he couldn't quite finish on a high.,Sri Lanka won by 2 runs ( D/L method),T20,Australia vs Sri Lanka,4
"An utterly dominant show from the hosts. The visitors never really arrived for the game. The batting was a huge let down and even though the bowlers showed some spirit, it was never going to be enough. After the loss of an early wicket, du Plessis, the first time skipper played a matured knock. Debutant, Quinton de Kock, got into his stride as well and it should give him some confidence that he stayed on till the end.",South Africa won by 8 wkts,T20,South Africa vs New Zealand,2
"Almost a one man show, that. New Zealand's innings was all about Guptill. Nicol and Brendon McCullum played their part and gave good support to Guptill as he flayed the South African attack. He hit as many as six 6s and was particularly harsh on the spinners - Peterson and Phangiso. The wet ball made it even more difficult for the Protea bowlers but they missed a few chances as well. In the end, it was a well deserved victory for New Zealand.",NZ won by 8 wickets (D/L method),T20,South Africa vs New Zealand,2
The visitors were never in the chase after Guptill and Brendon McCullum got out. Franklin was probably their last hope but even he did not inspire any confidence. The Proteas fielded like tigers and their catching was of the highest standard. Mclaren and Phangiso were the pick of the bowlers with 3 wickets each. With that South Africa win the 3 match T20I series 2-1.,South Africa won by 33 runs,T20,South Africa vs New Zealand,2
"Phew. What a chase this has been. New Zealand got off to a horrid start as the top order once again capitulated. BJ Watling and Brendon McCullum got going thanks to a gritty partnership. However, in the middle overs, they once again stuttered before Nathan McCullum played a nice cameo. The 47 run stand for the 9th wicket between Kyle Mills and James Franklin got NZ closer to the target. In the end, Mitchell McClenaghan managed to survive and Franklin scored the winning runs as they won the first ODI at Paarl by one wicket.",New Zealand won by 1 wkt,ODI,South Africa vs New Zealand,4
"New Zealand have fought admirably. Credit to them for keeping up the pressure and bowling and fielding brilliantly. They have proven yet again that catches and sharp fielding can help win you a match. But it has to be said that it was South Africa's match to lose. They were 167/1 at one stage, cruising along with Smith and Colin Ingram at the crease. But thanks to 5 run outs, they eventually fell 27 run short. Mills was the pick of the NZ bowlers with 2/28 in 9 overs, while Nathan McCullum and Guptill impressed in the field. The visitors win the series 2-0 with one ODI to go.",New Zealand won by 27 runs,ODI,South Africa vs New Zealand,3
"It was a see-saw battle all the way today. 261 wasn't an easy target but South Africa got a very good start. Smith led the chase with a century but wickets kept falling around him. South Africa looked safe until Smith was there but once he went, New Zealand pounced on the opportunity. However, a dramatic finish courtesy Ryan McLaren ensured that South Africa wouldn't 'choke' again.",South Africa won by 1 wkt,ODI,South Africa vs New Zealand,4
"Yet another India vs Pakistan thriller. What a roller-coaster ride in just a span of 20 overs. 134 wasn't too big a target but Bhuvneshwar Kumar bowled a stunning spell on debut to send panic waves through the Pakistan camp. Pakistan were 12/3 at one stage, but Pakistan's skipper Hafeez and the experienced Shoaib Malik calmed them down with some steady batting, before going on the attack towards the end. Things turned again towards the end as India got a couple of quick wickets, but Malik stayed calm and took them through.",Pakistan won by 5 wkts,T20,India vs Pakistan,3
A cracking game of cricket and India deservedly level the series 1-1. Pakistan started off well and were kept in the hunt by some exceptional batting from their skipper Hafeez but Dinda ensured that India didn't have to worry by taking care of three crucial wickets.,India won by 11 runs,T20,India vs Pakistan,4
Pakistan take a 1-0 lead in the series. Deservingly too. India did well to fight back from some tight situations. Dhoni did it with the lower order when they batted. Bhuvaneshwar Kumar led the way with the ball. They would lay some blame on a crucial umpiring error when Jamshed was adjudged not out on 24. Ashwin was guilty of overstepping and missed out on a wicket in the process. Yuvraj dropped Jamshed on 68. There was a flicker of hope for India when Ishant Sharma sent back Misbah-ul-Haq but Shoaib Malik steadied the ship. Jamshed went past his second ODI ton and helped Pakistan coast to a win.*,Pakistan won by 6 wkts,ODI,India vs Pakistan,4
"India's bowlers and fielders delivered the win. 168 wasn't a great score on this track but the fielders made it look like a score close to 200. There were a couple of missed chances - Dhoni dropped Misbah off Jadeja and Rahane dropped Hafeez off Ashwin, but those were rare blemishes on an otherwise great day on the field for India. Young Shami Ahmed and Bhuvneshwar Kumar set it up with a superb spell at the top, and the bowlers who followed just continued. Jadeja's 1/19 from 10 overs, Ishant's 3/36 and Ashwin's 2/47 say that it was a great teamwork from the bowlers.",India won by 10 runs,ODI,India vs Pakistan,5
The Man of the Match award went to Pujara but a lot of credit should go to Ojha as well. He was brilliant right through the game and ended up with 9 wickets in the match. India's pacers outshone their England counterparts as well. Umesh and Zaheer didn't get much out of the track but they troubled the batsmen with reverse swing. Spare a thought for Cook as well. He played a marathon knock but it wasn't enough to save the game.,India won by 9 wkts,Test,India vs England,4
"A straightforward win for the hosts despite missing many of their batting stars. A superb century from Hughes and outstanding batting efforts from Bailey and Hussey set them up for a huge score on the board. The bowlers then stood up, Tharanga and Mahela were dismissed cheaply, Dilshan and Chandimal steadied the ship before the calamitous run-out of Dilshan started the slide. Chandimal fought bravely for his 73 but got zero support at the other end.",Australia won by 107 runs,ODI,Australia vs Sri Lanka,2
It was a hard fought match but Sri Lanka came up well short. Philip Hughes' hundred proved to be a big difference in the end. Sri Lanka never had one batsman to hold an end up. Mahela Jayawardene promised much but fell too quickly. Mathews waged a lone battle for some time but it was not enough. Mahela will look back at his decision to bowl first too. It was definitely harder to bat as the game progressed. The Australian bowlers mixed it up very well. Xavier Doherty stood out and his 3 wickets broke the spine of the Sri Lankan batting.,Australia won by 32 runs,ODI,Australia vs Sri Lanka,2
"Pakistan have demolished South Africa here. The Proteas got off to a solid start as they raced to 50 in five overs. AB de Villers unfurled his Vil-Scoop and looked set to take the game away from Pakistan. Umar Gul came into the attack and he changed the complexion of the game. He took four wickets in seven balls as South Africa collapsed. The other bowlers, especially Mohammad Hafeez, ran through the tail and in the end, Pakistan have emerged victorious by a margin of 95 runs.",Pakistan won by 95 runs,T20,South Africa vs Pakistan,4
"A captain's knock from Misbah. He led the chase with his usual calmness and with a cool head. Hafeez gave them a decent start and Younis and Malik put together vital stands with Misbah. The match was set up by the bowlers though, and Pakistan will travel to the Wanderers on an even kneel. The South African bowlers toiled hard, but were let down by the batsmen as well as a wet ball.",Pakistan won by 6 wkts,ODI,South Africa vs Pakistan,2
"So a fantastic game of cricket comes to an end. Pakistan fought well throughout their innings but were just not good enough on the day, maybe a couple of more wickets in hand could have got them past the line. They got off to a good start with Mohammad Hafeez batting sensibly alongside Kamran Akmal before suddenly losing their way. Shahid Afridi raised hopes with a quickfire knock. Wahab Riaz batted really well but ran out of partners as Dale Steyn led the Proteas bowling line up with good support from the rest of the bowlers. Eventually they held their nerve to go 2-1 up in the 5-match series.",South Africa won by 34 runs,ODI,South Africa vs Pakistan,3
"The Durban jinx continues for the hosts. The bowlers fought hard but were let down by a below par score and their own profligacy with the extras. They had the visitors in trouble at 33/3 before a superb 153 run stand between Misbah and Farhat led Pakistan on the recovery path. Both batsmen missed out on their tons, Pakistan endured nervy times as usual before limping past the winning post.",Pakistan won by 3 wkts,ODI,South Africa vs Pakistan,3
"A complete hammering. West Indies just didn't turn up today. Only 33.1 overs were bowled today, which is less than a complete T20 game! This should completely demoralise the visitors. They were bowled out for just 70 in under 24 overs and Australia had no problems getting to the target. Glenn Maxwell had some fun in the middle and slogged his way to a half century, but the star of the day is undoubtedly Starc. His 5 for 20 completely blew away West Indies.",Australia won by 9 wkts,ODI,Australia vs Windies,2
"A convincing win in the end for Australia. Starc was the chief destroyer once again, picking up 5 wickets. He rocked the visitors early with 3 wickets. Powell resisted well with a wonderfully crafted 83, he was well supported by Dwayne Bravo who made an attractive 45. The duo added 126 runs for the 4th wicket but the visitors collapsed once Powell fell.",Australia won by 54 runs,ODI,Australia vs Windies,3
" 330 was a huge target but West Indies were in the game for a large part of the chase. The Bravos put on a century stand and set up a very good platform but the big hitters couldn't do much. Gayle failed, Pollard was run out, and that left a bit too much for the likes of Russell and Sammy. For Australia, it was Faulkner who was the pick of the bowlers. His double strike in the 38th over took the life out of the West Indies chase.",Australia won by 39 runs,ODI,Australia vs Windies,2
"A comfortable victory for Australia in the end. Their batsmen set it up led by the Man of the Match, Adam Voges. The chase was never going to be easy but West Indies began in earnest. Until the halfway point they were well and truly in the game. Johnson Charles' streaky 100 and Pollard's watchful innings gave them hope but neither could last till the end.",Australia won by 17 runs,ODI,Australia vs Windies,3
"Well with a mammoth score of over 200, the scoreboard pressure will always be telling on the side that is chasing. That was the case here as well as New Zealand, though for a brief moment looked like they were in the hunt, could never really build solid partnerships. Balls being skied to the fielder and credit to the England bowlers as well for banging the ball in and generating extra bounce. In the end skipper Stuart Broad led from the front with a four wicket haul and that pretty much sums up a fantastic day for England. ",England won by 40 runs,T20,New Zealand vs England,2
"New Zealand finish a superb win over the visitors after a blitzkreig by their skipper Brendon McCullum. England never looked in the game and struggled against the pace, bounce and swing of the pacers. Franklin came in at the end to sneak in a career best 4 wicket haul. If not for Buttler, England might not have even reached 100.",New Zealand won by 55 runs,T20,New Zealand vs England,2
"A convincing win for England after they lost the first match. They bowled well collectively, with Anderson leading the pack with a fifer. Chasing 270, they got off to a solid start with the skipper leading from the front with a solid half century. They lost the openers in the middle overs, but Trott and Root stitched a match winning partnership of 121 runs for the 3rd wicket. Root particularly impressed one and all with his range of shots and stayed unbeaten on 79 till the end.",England won by 8 wkts,ODI,New Zealand vs England,3
"England have dominated the whole match. After the bowlers put up a clinical performance, the batsmen played with a lot of maturity. Ian Bell started off well but fell in the pursuit of quick runs. Alastair Cook and Jonathan Trott shared a steady 67 run stand before Tim Southee sent both Trott and Cook back. Eoin Morgan batted aggressively to get England closer to the target, before Joe Root scored the winning runs. For New Zealand, only Southee and Andrew Ellis bowled well but the rest of the bowling lacked penetration.",England won by 5 wkts,ODI,New Zealand vs England,2
"So the West Indies take a 1-0 lead in this 3-match series. Zimbabwe were never really in the hunt, their top-order was blown away very quickly and ever since then there was no recovery from them even though malcolm Waller registered his 4th ODI fifty. Sunil Narine bagged three wickets, while Dwayne Bravo and Andre Russell bagged two each.",West Indies won by 156 runs,ODI,Windies vs Zimbabwe,1
"A clinical performance from West Indies has helped them win the 3-match series 3-0. Chasing a below par total of 212, they got off to a cautious start, but lost Sarwan early. But Darren Bravo played the sheet anchor role and stayed unbeaten on 72 till the end to see them through. Powell gave him a good company, but was again out to a loose shot. Mutombodzi and Mushangwe bowled well for Zimbabwe, but they didn't have a good total to defend.",West Indies won by 5 wkts,ODI,Windies vs Zimbabwe,2
"Yet another comfortable win for the West Indies, Zimbabwe were never really in the hunt, wickets at regular intervals pegged them back big time as the hosts swept the series 2-0.",West Indies won by 41 runs,T20,Windies vs Zimbabwe,1
"After all the drama with the floodlights, the second innings started and it was going only Sri Lanka's way. Janith Perera and Tillakaratne Dilshan started off with a bang and were going over ten runs per over. But even as the former departed, Dilshan combined well with Kumar Sangakkara and went onto make his 12th ODI hundred. In the end Sri Lanka registered an emphatic 8-wicket win as they eclipsed the D/L target with 32 balls to spare.",Sri Lanka won by 8 wkts,ODI,Sri Lanka vs Bangladesh,2
"What a match it turned out to be in the end after being interrupted by the rain and at one stage it looked like it will be called off. Chasing a revised target of 183, Bangladesh got off to a good start, but soon lost wickets in a heap. But Nasir held his nerve and stayed till the end to clinch a series levelling win for them. Sri Lanka fought hard, but the efforts of Malinga and Senanayake was not enough in the end to bring them back into the game.",Bangladesh won by 3 wkts,ODI,Sri Lanka vs Bangladesh,3
"So Sri Lanka hold onto their No.1 ranking in T20Is for this year. In the end, Bangladesh did well to come close to the Sri Lankan total and this was also their highest total batting second in T20Is. 199 was always going to be a tough chase, but Ashraful started off well with some big hits. Soon they lost wickets in a heap and once again it was Rahim who brought them back to the game with a responsible knock. Some tight bowling towards the end by the Sri Lankan bowlers made it difficult for Bangladesh and they fell short by 17 runs.",Sri Lanka won by 17 runs,T20,Sri Lanka vs Bangladesh,4
"A convincing win in the end for Bangladesh after they survived a top order failure to post a decent score. Bangladeshi seamers bowled a tight line and length to rip through the Zimbabwean top order, with only Taylor and Masakadza brothers offering some resistance. Ziaur Rahman was the wrecker-in-chief claiming his maiden 5-wicket haul to trigger the Zimbabwean collapse. But the credit must go to Nasir Hossain, who bailed Bangladesh out with a responsible knock after they were struggling at 94/4.",Bangladesh won by 121 runs,ODI,Zimbabwe vs Bangladesh,3
"An easy win for Zimbabwe in the end, sets up the decider on Wednesday. They bowled well to restrict Bangladesh for a decent total and also overcame a late onslasught by Razzak, who notched up a fastest fifty. They lost wickets initially, but Taylor and Williams' partnership got them back to the game, with Williams staying unbeaten till the end to help them level the series. Waller also supported him well and they romped home easily in the end winning by 6 wickets.",Zimbabwe won by 6 wkts,ODI,Zimbabwe vs Bangladesh,2
"What a turnaround for Zimbabwe after they were beaten badly in the 1st ODI by 121 runs. Their batsmen clicked as a unit in both the ODIs they have won and that helped them take the 3-match series 2-1. They bowled well initially as they were boltered by the addition of Vitori. He gave them a good start and struck twice in 2 balls to leave Bangladesh struggling. Mahmudullah's late onslaught helped them to post 247. Zimbabwe started the chase in an aggressive fashion, but lost Masakadza and Taylor in quick succession. But Sibanda played a dream innings and also posted his 2nd ODI ton in the process to help Zimbabwe win the match quite easily. Williams also chipped in with a quick-fire fifty and ensured Zimbabwe didn't face any further hiccup. ",Zimbabwe won by 7 wkts,ODI,Zimbabwe vs Bangladesh,3
"Brilliant win for Zimbabwe! Who would have thought they will win this one? At one stage, Bangladesh were cruising with Shakib and Shamshur on a rampage. But one over from Utseya changed it all and it all went downhill from there. They kept losing wickets at regular intervals, Mushfiqur had almost carried them home but he was caught off the first ball of the final over and it was all over for the visitors.",Zimbabwe won by 6 runs,T20,Zimbabwe vs Bangladesh,5
"Fantastic win for Bangladesh! They batted well to reach a competitive score and then bowled brilliantly to confound the hosts. Zimbabwe kept losing wickets at regular intervals and never really looked in control of the game. Shakib bowled a remarkable spell, he picked up Taylor and Shingi and then cleaned up the tail as well. Spinners did the job for the visitors to reduce Zimbabwe to 9 wickets. In the end, a comprehensive win for Bangladesh as they square the T20 series 1-1.",Bangladesh won by 34 runs,T20,Zimbabwe vs Bangladesh,2
"A comprehensive victory in the end. England never looked like they would chase this score down. Only Trott stood amongst the ruins and compiled a century, but the match was lost way before that. New Zealand were professional with the ball and took all their chances in the field. They have now got a 2-0 series lead and will look for a whitewash at Trent Bridge.",New Zealand won by 86 runs,ODI ,England vs New Zealand,2
"New Zealand would be thinking about their last five overs with the ball and the middle-order collapse with the bat. Guptill started off on a positive note, but the visitors suddenly lost track of their chase. England did really well to put pressure on the New Zealand batsmen with some fine bowling. In the end, it was too much for Taylor as he ran out of partners. ",England won by 34 runs,ODI,England vs New Zealand,2
"What a game of cricket we've had tonight. England were right in the chase from the word go. Openers Lumb and Hales got them off to a blazing start. Luke Wright continued the good work and got to his fifty. But the visitors chipped in at regular intervals to keep a check on the run flow. It was down to 35 from the last 3 overs thanks to a cameo from Bopara. But he was left stranded at the other end as Nathan McCullum, Ian Butler and Corey Anderson did the job for the Kiwis in the final overs and helped their side take an unassailable 1-0 lead in the 2-match T20I series.",New Zealand won by 5 runs,T20,England vs New Zealand,5
"What an amazing match this turned out to be in the end. There were lots of stoppages due to rain in the 1st innings and the match was reduced to 47 overs. Despite a tough D/L adjusted target, Ireland fought well, thanks to a superb century from Stirling and some amazing hitting by Kevin O'Brien helped them come closer to the Pak total and they just prevailed in the end by 1 run. Pakistani bowling was horrible and even their experienced spinner, Ajmal went for 71 runs in his 10 overs.",Match tied (D/L method),ODI,Ireland vs Pakistan,5
"Chris Gayle has once again stolen the show at his home ground with a power-packed display. His 115 run stand with Johnson Charles laid the foundation for their win. Gayle notched up his 21st ODI century and his first against Sri Lanka. Although the Lankans came back with a couple of quick wickets, West Indies were firmly in the driver's seat and they managed to seal victory with a bonus point as they chased the target down in less than 40 overs.",West Indies won by 6 wkts,ODI,Windies vs Sri Lanka,5
"Kudos to West Indies. They did a great job of restricting the strong Indian batting line-up to an average score. Later, thanks to Charles, their innings went through smoothly before a few brain fades made the match interesting. The birthday boy Kemar Roach kept his cool and played calmly to escort his side to safety. India will not exactly be displeased with this act. Despite the absence of their skipper MS Dhoni, they battled hard, led by the aggressive Virat Kohli who rotated his bowlers and fielders admirably.",West Indies won by 1 wkt,ODI,Windies vs India,4
"India showed no intent whatsoever in this chase. By the end of 10 overs, India were crawling around at a run-rate just under three. They kept on losing wickets and only Ravindra Jadeja showed some character with an unbeaten 49. Herath and Senanayake chipped in with wickets at crucial intervals as Sri Lanka rounded off the perfect day in style. ",Sri Lanka won by 161 runs,ODI,India vs Sri Lanka,1
"Kohli has registered his first win as skipper. West Indies were already on the back foot when the rain delay shelved some overs off. Chasing 274 for an unlikely win and 219 to deny India the bonus point, Umesh Yadav and Ishant Sharma ripped through the middle order. Roach and Narine delayed the inevitable with a 58 run stand but Jadeja took the remaining wickets to seal a massive 102 run victory. India's victory has given them the bonus point and the tournament is now wide open.",India won by 102 runs (D/L Method),ODI,Windies vs India,2
"West Indies started off very slowly as Eranga and Mathews bowled with discipline. However, a 123 run stand between Simmons and Darren Bravo gave West Indies some hope with both batsmen notching up gritty half centuries. However, with their departures, West Indies fell behind but they ensured Sri Lanka did not concede the bonus point. Mathews was the star for Sri Lanka with 4/29 as his team performed admirably.",Sri Lanka won by 39 runs (D/L method),ODI,Windies vs Sri Lanka,2
"India were coasting at 139/3 with Rohit Sharma batting well. However, once he departed, India struggled to gain momentum. Herath was the chief destroyer and he snapped up Ravindra Jadeja and Ashwin in quick succession in his final over. However, Dhoni hung in there as wickets tumbled at the other end. In the last over bowled by Eranga, Dhoni was in his elements as he smashed a six, a four and then a six as India clinched a thriller by one wicket. This has been a memorable final and India's golden run in ODIs continues.",India won by 1 wkt,ODI,India vs Sri Lanka,5
"In the end, it was an easy victory for Scotland as they successfully defended a low total. Their bowlers struck in regular intervals and the Kenyan batsmen also fell to some poor shots. Goudie chipped in with three wickets while Drummond and MacLeod picked up two wickets each. Scotland lead the 2-match series 1-0. ",Scotland won by 35 runs,T20,Scotland vs Kenya,1
"Well, it was a one-man show all throughout the game. Shahid Afridi, on his comeback, first bailed the side out of trouble with the bat, and with the ball, he was near unplayable accounting for 7 wickets. If one thought Pakistan batted very badly, the West Indies reply was even poor. None of the batsmen got going and eventually they succumbed to pressure. Afridi now has the second best bowling figures in an ODI. Pakistan go 1-0 up in the 5-match series.",Pakistan won by 126 runs,ODI ,Windies vs Pakistan,2
"So West Indies have managed to square the series here with 3 games to go. This looks like a bat first pitch. Pakistan were victorious in the first game. West Indies made a decent score today and more importantly, they bowled really well upfront. Pakistan were never really allowed to be free. Nasir Jamshed was given 4 lives but he could not make the most of it. Umar Akmal was the only other successful batsman for the visitors. Narine was the pick of the bowlers and he strangled them with 4 wickets. In the end, West Indies have managed a comprehensive win.",West Indies won by 37 runs,ODI,Windies vs Pakistan,1
"Phew! What a game of cricket. It had everything in it. The game was boring when Samuels and Bravo could never really get going and after a flurry of wickets it got interesting. One thought Pakistan pulled off a fine win but they were denied by Holder and more importantly, Umar Akmal himself. West Indies would have backed themselves to chase down 230 on a decent batting strip. They lost Gayle, Charles and Darren Bravo early. Simmons and Samuels steadied the ship before both were dismissed. Pressure got the better of Dwayne Bravo, Pollard and Sammy who went in quick succession. It was down to 15 runs needed off the last over. Holder held his nerve and hit a boundary and then a stunning six before Akmal grabbed attention on the final ball by missing a relatively easy run-out.",Match tied,ODI,Windies vs Pakistan,5
"The rain has brought in some luck with it for Pakistan. They were not doing that great before the rain break at 17 overs, but once play restarted they were outstanding. Pakistan needed 121 in 14 overs. With 8 wickets in hand, one would back the batting side. Hafeez and Misbah scored fifties to keep the run rate in check. In the end, Umar Akmal finished the game off with 6 balls remaining hitting a flurry of boundaries in the penultimate over. ",Pakistan won by 6 wkts (D/L Method),ODI,Windies vs Pakistan,3
"Pakistan kept a healthy scoring rate but lost wickets at regular intervals. However, Umar Amin stepped up and scored runs at will. His 47 laid the base for Pakistan's march towards victory. Shahid Afridi also played a vital knock but he lost his wicket at a crucial time. Zulfiqar Babar struck a four and a six in the last over to seal a thrilling two wicket win for Pakistan. Gabriel's erratic bowling in the 19th over has proven to be very costly for the West Indies.",Pakistan won by 2 wkts,T20,Windies vs Pakistan,5
"Fantastic win for the hosts! This is South Africa's second biggest defeat in ODIs by runs. The Lankans were brilliant as the visitors never really got going from the start. Malinga cleaned up Ingram on the very first ball after which, Petersen, Duminy and de Villiers chipped in a few runs and it looked like the visitors were fighting back. But some clever bowling by the spinners out-foxed them and they began losing wickets at regular intervals. Sri Lanka lead the 5-match series 1-0. ",Sri Lanka won by 180 runs,ODI,Sri Lanka vs South Africa,3
"The injury to Hashim Amla already jolted South Africa's batting line-up. Peterson fell in the first over bowled by Malinga before Petersen and Duminy strung a solid stand. However, the Sri Lankan bowlers bowled with discipline and never allowed the Proteas to get away. In the end, rain had the final say and Sri Lanka won the match by 17 runs (D/L method) to go 2-0 up in the series.",Sri Lanka won by 17 runs (D/L method),ODI ,Sri Lanka vs South Africa,2
"South Africa finally taste victory in Lankan soil against the hosts since September 2nd, 1993. The bowlers made sure that Sri Lanka struggled in the chase, Tsotsobe struck thrice in no time to reduce them to 16/3. Mahela and Chandimal added useful runs but when they were reduced to 92/6, it looked all but over. Thisara had other ideas as he smashed 35 runs from one Peterson over, but the visitors held their nerve to close out the game.",South Africa won by 56 runs,ODI,Sri Lanka vs South Africa,3
A dominant partnership between Dilshan and Sangakkara ensured that SL won the match with a huge degree of comfort. Dilshan scored his 17th ODI hundred while Sangakkara chipped in with 91. The duo added 184 runs for the 2nd wicket and all but sealed the victory for the hosts. South Africa did not go for a review when Duminy trapped Sangakkara plumb in front very early in the piece and they paid a heavy price for it. Sri Lanka go 3-1 ahead and deservingly so.,Sri Lanka won by 8 wkts,ODI,Sri Lanka vs South Africa,3
"A comfortable win for Sri Lanka in the end. With the series lost, they came out firing and put the South African players under huge pressure. Dilshan led from the front and it was apt that he finished things off. Mahela was the ideal foil for him, but SA clawed back in the middle overs only for Thisara to ease the hosts past the winning post. ",Sri Lanka won by 6 wkts,T20,Sri Lanka vs South Africa,2
"A comprehensive victory for the Indians. The openers got starts but failed to build on. Virat Kohli scored his 2nd ton as captain in just 4 matches and was well supported by debutant Ambati Rayudu as the visitors chipped away at the target. Kohli and Rayudu helped himself to a half century to seal India's dominance. Kohli and Raina fell towards the end, but the match was all but decided by then. India go 1-0 ahead and continue their winning streak.",India won by 6 wkts,ODI,Zimbabwe vs India,3
"Yet another comprehensive performance from India. Shikhar Dhawan set the tone with a fine albeit chancy century. In the reply, Zimbabwe got off to a solid start. Vusi Sibanda and Hamilton Masakadza started confidently but once these two fell the innings just fell apart. Zimbabwe were then just trying to play out the 50 overs. They managed to do that. For India, Unadkat had a very good day. He picked up 4 wickets and ran out Taylor as well. ",India won by 58 runs,ODI,Zimbabwe vs India,3
Virat Kohli led from the front yet again and helped India to their 3rd straight win of the tournament. This win was set up by the bowlers. Zimbabwe lost wickets at regular intervals and never got going. The target of 184 was never going to be enough to trouble India. The start was solid and Kohli stayed through till the end to guide his team to a comfortable win.,India won by 7 wkts,ODI,Zimbabwe vs India,2
"Easy win in the end for the Indians. The result was never in doubt once they bowled Zimbabwe out for 144. Cheteshwar Pujara failed to make the most of his opportunity at the top of the order as he was bowled by Chatara for just 13. Rohit Sharma scratched around but made sure that he did not throw his wicket away. Raina, promoted to No. 3 made the most of the chance as the duo scripted an impressive partnership. India now go 4-0 up and will look to complete the whitewash when the two teams meet on Saturday.",India won by 9 wkts,ODI,Zimbabwe vs India,2
"Another routine win for India and they take the series 5-0. After a fine start given by Dhawan, Jadeja slowed things for a while before accelerating alongside Rahane. In the end, Jadeja batted through and ensured a comfortable win for his side. Zimbabwe will be really unhappy with their show in the series.",India won by 7 wkts,ODI,Zimbabwe vs India,2
"An easy win for Pakistan in the end. The hosts started off well with Masakadza and Sibanda puttting up a 53-run opening stand. But, Anwar Ali trapped Masakadza in the 8th over and it all went downhill from there. The spinners were exceptional and quick strikes pegged back Zimbabwe as their scoring rate decreased. Taylor's fightback at one end was not enought as they needed 32 off the final over. Tanvir made sure he bowled a disciplined line to give the visitors a comfortable 25-run victory in the first match.",Pakistan won by 25 runs,T20,Zimbabwe vs Pakistan,2
"Clinical performance by the visitors as they clinch the two match T20I series. After putting up a competitive total on the board, they were brilliant with the ball as well. The hosts started off well but stumbled in the middle overs as the Pakistani spinners stole the day. Hafeez, in particular, was fantastic as he picked up 3 important wickets. This is the 13th bilateral T20 series win for Pakistan, the most by any team.",Pakistan won by 19 runs,T20,Zimbabwe vs Pakistan,3
"What a clinical performance from Zimbabwe. They end the 15 year winless drought against Pakistan. Last time they won a match against Pakistan in ODIs was way back in 1998. Chasing a decent total, they got off to a solid start and the opening pair put on 107. Masakadza gave them a fantastic start and was unlucky to miss out on a century as he got out for 85. Taylor found some form at a crucial time and Williams played a blinder at the end to see them through without much fuss.",Zimbabwe won by 7 wkts,ODI,Zimbabwe vs Pakistan,3
A late collapse hurt the Zimbabweans. They looked good to take the fight to the Pakistan camp when Taylor and Waller were batting together. Taylor was dismissed by Ajmal and Waller was castled by Junaid. The tail fell apart and the visitors completed a crushing victory. Junaid was the best bowler on view and he deserved all the accolades.,Pakistan won by 90 runs,ODI,Zimbabwe vs Pakistan,22
"A clinical performance from Pakistan and they take the series 2-1. They had not won a series for the past 10 years which was levelled at 1-1 or 2-2, but they have broken that. They were put into bat and they struggled hard to reach a decent total. In the end Misbah bailed them out with a fighting fifty. Zimbabwe started their chase pretty well, but lost back to back wickets of Masakadza and Taylor in quick sucession, which dented their hopes. Almost all Pakistani bowlers chipped in with wickets and Zimbabwe never really looked like chasing down the total.",Pakistan won by 108 runs,ODI,Zimbabwe vs Pakistan,3
