text,score,match_type,team,label
"Sri Lanka were never in the match after T Dilshan was run out without facing a ball. Dilshan Munaweera looked ill at ease and failed to score freely. Nobody in the Lankan line-up could play a knock like the one played by de Villiers which ultimately made the difference. South Africa have a lot of soul-searching to do. Levi and du Plessis failed once again, while their high catching in this game has been pathetic.",South Africa won by 32 runs,T20,Sri Lanka vs South Africa,1
"Very good cricket from Pakistan. They batted superbly led by the impressive Nasir Jamshed. Their bowling was effective without being spectacular. Saeed Ajmal was the exception. He was brought in only in the 12th over but maintained his calm under pressure to help Pakistan get through. Taylor, Franklin and Oram struck some late blows but they were left with too much to do in the end. Pakistan will take a lot of confidence from this hard fought win.",Pakistan won by 13 runs,T20,New Zealand vs Pakistan,3
"It was a dismal performance with the ball from Bangladesh. They showed a lot of spirit with the bat, Shakib led the way there but there was no one to do a similar role with the ball. The pacers were guilty of bowling too many short deliveries. Imran Nazir put them away in style and together with Hafeez, the duo ensured that Pakistan made it through with little trouble.",Pakistan won by 8 wkts,T20,Bangladesh vs Pakistan,1
"Eoin Morgan will be a disappointed man. He has scored an unbeaten 71 off just 36 balls but even that was not enough to take England past the line. It was all because of the horror start they got - Rampaul started with a double wicket maiden and England took their own sweet time to rebuild. Bairstow in particular struggled to get going and that kept pushing up the required run rate. Hales and Morgan kept trying, and with some luck going their way, even put some pressure on West Indies, but the target was always beyond their reach.",West Indies won by 15 runs,T20,England vs Windies,3
"So, for the third time in a row, South Africa have been unable to defeat Pakistan in the T20 Cup. The Pakistani camp is absolutely thrilled to bits. After a brisk start, Pakistan lost three wickets quickly and they continued to lose wickets in the middle overs. Umar Akmal played a mature hand and guided Pakistan along. However, it was Gul's 17 ball 32 that changed the tide of the match for Pakistan. The 51 run stand between Gul and Umar Akmal made South Africa panicky as they leaked 36 runs in two overs.",Pakistan won by 2 wkts,T20,Pakistan vs South Africa,4
"England complete a convincing win over New Zealand.  Undoubtedly the star of the game was Luke Wright. While the other batsmen struggled a bit against the slow bowlers, Wright played a stunning knock, smashing five sixes and an equal number of fours in the process. None of the NZ bowlers did anything extraordinary, though their fielding was outstanding.",England won by 6 wkts,T20,England vs New Zealand,3
Sri Lanka have bossed this game and Mahela has played a perfect captain's knock. The bowlers set it up first and Mahela guided them with the bat. Sangakkara gave his skipper some solid support as the hosts chased the low target down with absolute ease.,Sri Lanka won by 9 wkts,T20,Sri Lanka vs Windies,2
"Another convincing performance from the Aussies. It was the Shane Watson show once again today. 2 wickets with the ball and a 47 ball blitz which saw him scoring 70. South Africa have much to think. Their ground fielding has been excellent in parts, but their catching has been awful. They still have an outside chance to make the semis. For that they will want India to win against Pakistan.",Australia won by 8 wkts,T20,Australia vs South Africa,2
"Convincing win in the end for Sri Lanka. They have Lasith Malinga to thank for, he ripped through the top order in his first spell and returned at crucial times to dig a hole in the England line-up. He was well supported by Kulasekara and Dananjaya as Sri Lanka wrapped it up in style. Samit Patel was the lone batsman to show some fight with a spunky 67, Swann threatened to upset West Indies with a fine cameo but it was too little and too late.",Sri Lanka won by 19 runs,T20,Sri Lanka vs England,3
The Pakistani spinners proved to be a handful on this pitch. Raza Hasan and Saeed Ajmal were too good for the Australian top order. Watson failed for the first time and it took a brilliant fifty from Michael Hussey to guide Australia past the target of 112 which was needed for them to qualify for the semi-finals. ,Pakistan won by 32 runs,T20,Australia vs Pakistan,3
"Excellent cricket from Sri Lanka. They have managed to defend a average score. The bowling was outstanding, were backed up by some athletic fielding, the pitch did play its part as it made the batsmen struggle to play their shots with any fluency. Pakistan never looked like they would come anywhere close to the target, Nazir gave them a decent start but the middle order struggled as the spinners came on. The death blow was the twin dismissals of skipper Hafeez and the woefully out of form Afridi. Umar Akmal fought well but neither he nor Umar Gul could do little to snatch victory.",Sri Lanka won by 16 runs,T20,Sri Lanka vs Pakistan,3
"It has been a wonderful performance from the West Indies. They were much better in all departments today. Gayle and Pollard took the game away as their big hits took West Indies beyond 200. Australia never got going and they were restricted to 43/6. Bailey came in and scored his first T20I fifty. However, the asking rate was too much as Australia suffered a 74 run defeat. It will be Sri Lanka versus West Indies on 7th.",West Indies won by 74 runs,T20,Australia vs Windies,3
New Zealand did very well with the bat. In fact they got to their highest ever score against Sri Lanka in Sri Lanka. They would have backed themselves to put up a fight with that total. Sri Lanka's chase was held together by Dilshan and Jayawardene. The former was struggling but still stuck in to put on a good stand. They did well to be ahead of the D/L par score when the rain came in and deservingly went 1-0 up in the series.,Sri Lanka win by 14 runs (D/L method),ODI,Sri Lanka vs New Zealand,3
"The rain-marred game finally managed to produce some entertaining cricket. Watling started it off with a splendid knock and Sri Lanka had a stiff target to chase. It became even more difficult after they lost some quick wickets early on. Dilshan had hung on in the initial stages and with Mathews for company, began to open up further. The dew played a factor too but NZ were in the game until it went into the last 10 overs. The experienced duo upped the ante just when SL needed it and cruised to a comfortable victory.",Sri Lanka won by 7 wkts (D/L method),ODI,Sri Lanka vs New Zealand,3
"Sri Lanka never looked in any strife though it must be said that Boult and Southee beat the bat on numerous occasions during their opening spell. Chandimal lived a charmed life and Boult could have got him at least a couple of times. After the initial difficult phase, the chase became relatively easy and though the batsmen slowed down considerably towards the end, the job was complete with ease.",Sri Lanka won by 7 wkts (D/L method),ODI,Sri Lanka vs New Zealand,2
Bangladesh have outplayed West Indies in all departments. 200 was never going to be too much and it became very easy after Tamim Iqbal started the chase with an aggressive half century. All the batsmen contributed in the chase which is a very good sign ahead of the series. Nothing much to say about the West Indies. They were totally outclassed and will have to forget this game before the next one.,Bangladesh won by 7 wkts,ODI,Bangladesh vs Windies,2
"A spectacular victory for Bangladesh. They have trumped their fancied opponents by a massive 160 run margin. West Indies were never in the chase right from the first ball, they lost their openers very early and never recovered from there on. The spinners came into the party with Gazi and Razzak taking three wickets each. This is also Bangladesh's biggest ever win in terms of runs.",Bangladesh won by 160 runs,ODI,Bangladesh vs Windies,3
"A chase anchored by Marlon Samuels. He was well supported by Kieron Powell as the visitors cruised along. They lost a few wickets in a hurry towards the end but the presence of Samuels was vital. Bangladesh bowled their hearts out, especially the spinners who made the ball talk despite all the dew. The series now stands at 2-1 in favour of the hosts with two still to play.",West Indies won by 4 wkts,ODI,Bangladesh vs Windies,3
Bangladesh's jinx at Mirpur continues. They have blown away a 2-0 lead and will now head to tommorrow's final match with all to play for. Sammy was the star of the show today. He followed his unbeaten 60 with an incisive burst that saw him grab 3 top order wickets. He was well supported by Roach who took 2 as the hosts slid to 13/5. The match was over and only a fighting 56 from Mahmudullah delayed the final outcome.,West Indies won by 75 runs,ODI,Bangladesh vs Windies,2
"The Bangladesh batting collapsed again as Roach ripped through the top order. However, a fantastic 81 run stand between Mahmudullah and Rahim put Bangladesh back on track. However, they lost quick wickets again and it took a 53 run stand between Nasir Hossain and Mominul Haque to get Bangladesh closer to victory. In the end, Nasir Hossain held firm and scored the winning runs to seal a 3-2 victory.",Bangladesh won by 2 wkts,ODI,Bangladesh vs Windies,3
"Bangladesh should not be satisfied with this performance. When you lose just 1 wicket, you should expect to score more than just 179 on a flat track. Mahmudullah went past a half century and Tamim Iqbal almost made a century, but they missed out on a lot of scoring chances in the middle overs. At least 10 full tosses were wasted and Bangladesh have been made to pay for that. For West Indies, it was Gayle's off spin which made the difference. He conceded only 18 runs in his 4 overs in the middle and changed the game their way. Bangladesh will look back at the game and reckon that the last over from Rubel Hossain where he conceded 29 runs was the turning point.*",West Indies won by 18 runs,T20,Bangladesh vs Windies,3
"England were never in the game after they lost a flurry of wickets post a strong start. On a batting paradise a score well in excess of 180 runs was required. The fact that India's batsmen came out attacking made things difficult for them as well. Yuvraj Singh dazzled with an all-round performance and should surely be the Man of the Match. In retrospect, England will feel that they were about 20 runs short and bowled one wide too many.",India won by 5 wkts,T20,India vs England,2
England have squared the series 1-1. The chase was very professional from England. The openers gave them a great start. Yuvraj Singh pulled things back with a miserly spell where he picked up 3 wickets as well. A lot depended on Morgan who came in late to take England across and he did it in style.,England won by 6 wkts,T20,India vs England,2
"India will look back at the last two overs which went for 38 runs. Apart from that, there was nothing much to separate between the teams. Except Kohli, all the recognised batsmen got going and looked like playing a big knock while they were in the middle. Yuvraj and Raina played gorgeous strokes, but got out at crucial junctures. Dhoni got the crowd going with 4 sixes, but hit one straight to the fielder. Indeed that was the story of the innings as most of the batsmen gifted away their wickets. For England, it was off-spinner James Tredwell who was a revelation as he brought up his best ODI figures. Dernbach was costly, but picked up the big wicket of Dhoni.",England won by 9 runs,ODI,India vs England,5
"Ravindra Jadeja had a day to remember. He contributed with bat, ball and on the field to help India to a big win. The England chase never really got going. Bhuvaneshwar Kumar was the star early on. His 10 over spell right at the top ensured that England were always on the backfoot. On a track that was aiding the spinners, his spell of 3/30 was worth its weight in gold. Kevin Pietersen was the only batsman who looked in any sort of comfort but after his dismissal the Indian spinners got stuck in and never let the pressure off.",India won by 127 runs,ODI,India vs England,3
"It has been a professional batting performance from India. Rohit Sharma surprised one and all by responding to his skipper's call. He played a lot of wonderful strokes and missed out on a well-deserved hundred, courtesy a poor decision. England will rue the missed chance when Raina was caught at slip, but Finn had knocked off the bails and it was called a dead ball. Raina was on 42 then and it could have been the turning point. As far as the England bowling is concerned, it was Tredwell again who chipped in with the wickets. But Dernbach and Bresnan could do little. Except Finn, all the bowlers were expensive which did not help.",India won by 5 wkts,ODI,India vs England,3
"This win will restore some pride for England. Ian Bell was clinical in the chase. India fought hard with the ball. Ishant Sharma, Bhuvaneshwar Kumar and Ravindra Jadeja were impressive but the score was just not big enough to defend. The game was heading for a tight finish going into the last 10 overs but the dominant stand between Eoin Morgan and Ian Bell sealed it for England. They will be elated to go home on a winning note.",England won by 7 wkts,ODI,India vs England,3
"A straightforward win for the hosts despite missing many of their batting stars. A superb century from Hughes and outstanding batting efforts from Bailey and Hussey set them up for a huge score on the board. The bowlers then stood up, Tharanga and Mahela were dismissed cheaply, Dilshan and Chandimal steadied the ship before the calamitous run-out of Dilshan started the slide. Chandimal fought bravely for his 73 but got zero support at the other end. Australia go to Adelaide with a 1-0 lead.",Australia won by 107 runs,ODI ,Australia vs Sri Lanka,3
"Kushal Perera and Dilshan started the chase off well but they stuttered when the spinners came on to bowl. Doherty and Maxwell stifled the scoring rate as they picked up wickets at regular intervals. However, Mathews steadied the ship and Thisara Perera supported him well. Thisara finished off the game with a couple of sixes to help Sri Lanka go 1-0 up in the two match series.",Sri Lanka won by 5 wkts,T20,Australia vs Sri Lanka,2
A nail-biting game this. The revised target seemed to favour Australia but Sri Lanka's bowlers held their nerves and clinched the win. Bailey and Marsh got a few boundaries and took Australia to the last over. Glenn Maxwell hit consecutive fours and threatened to take the game away but he couldn't quite finish on a high.,Sri Lanka won by 2 runs ( D/L method),T20,Australia vs Sri Lanka,4
"An utterly dominant show from the hosts. The visitors never really arrived for the game. The batting was a huge let down and even though the bowlers showed some spirit, it was never going to be enough. After the loss of an early wicket, du Plessis, the first time skipper played a matured knock. Debutant, Quinton de Kock, got into his stride as well and it should give him some confidence that he stayed on till the end.",South Africa won by 8 wkts,T20,South Africa vs New Zealand,2
"Almost a one man show, that. New Zealand's innings was all about Guptill. Nicol and Brendon McCullum played their part and gave good support to Guptill as he flayed the South African attack. He hit as many as six 6s and was particularly harsh on the spinners - Peterson and Phangiso. The wet ball made it even more difficult for the Protea bowlers but they missed a few chances as well. In the end, it was a well deserved victory for New Zealand.",NZ won by 8 wickets (D/L method),T20,South Africa vs New Zealand,2
The visitors were never in the chase after Guptill and Brendon McCullum got out. Franklin was probably their last hope but even he did not inspire any confidence. The Proteas fielded like tigers and their catching was of the highest standard. Mclaren and Phangiso were the pick of the bowlers with 3 wickets each. With that South Africa win the 3 match T20I series 2-1.,South Africa won by 33 runs,T20,South Africa vs New Zealand,2
"Phew. What a chase this has been. New Zealand got off to a horrid start as the top order once again capitulated. BJ Watling and Brendon McCullum got going thanks to a gritty partnership. However, in the middle overs, they once again stuttered before Nathan McCullum played a nice cameo. The 47 run stand for the 9th wicket between Kyle Mills and James Franklin got NZ closer to the target. In the end, Mitchell McClenaghan managed to survive and Franklin scored the winning runs as they won the first ODI at Paarl by one wicket.",New Zealand won by 1 wkt,ODI,South Africa vs New Zealand,4
"New Zealand have fought admirably. Credit to them for keeping up the pressure and bowling and fielding brilliantly. They have proven yet again that catches and sharp fielding can help win you a match. But it has to be said that it was South Africa's match to lose. They were 167/1 at one stage, cruising along with Smith and Colin Ingram at the crease. But thanks to 5 run outs, they eventually fell 27 run short. Mills was the pick of the NZ bowlers with 2/28 in 9 overs, while Nathan McCullum and Guptill impressed in the field. The visitors win the series 2-0 with one ODI to go.",New Zealand won by 27 runs,ODI,South Africa vs New Zealand,3
"It was a see-saw battle all the way today. 261 wasn't an easy target but South Africa got a very good start. Smith led the chase with a century but wickets kept falling around him. South Africa looked safe until Smith was there but once he went, New Zealand pounced on the opportunity. However, a dramatic finish courtesy Ryan McLaren ensured that South Africa wouldn't 'choke' again.",South Africa won by 1 wkt,ODI,South Africa vs New Zealand,4
"Yet another India vs Pakistan thriller. What a roller-coaster ride in just a span of 20 overs. 134 wasn't too big a target but Bhuvneshwar Kumar bowled a stunning spell on debut to send panic waves through the Pakistan camp. Pakistan were 12/3 at one stage, but Pakistan's skipper Hafeez and the experienced Shoaib Malik calmed them down with some steady batting, before going on the attack towards the end. Things turned again towards the end as India got a couple of quick wickets, but Malik stayed calm and took them through.",Pakistan won by 5 wkts,T20,India vs Pakistan,3
A cracking game of cricket and India deservedly level the series 1-1. Pakistan started off well and were kept in the hunt by some exceptional batting from their skipper Hafeez but Dinda ensured that India didn't have to worry by taking care of three crucial wickets.,India won by 11 runs,T20,India vs Pakistan,4
Pakistan take a 1-0 lead in the series. Deservingly too. India did well to fight back from some tight situations. Dhoni did it with the lower order when they batted. Bhuvaneshwar Kumar led the way with the ball. They would lay some blame on a crucial umpiring error when Jamshed was adjudged not out on 24. Ashwin was guilty of overstepping and missed out on a wicket in the process. Yuvraj dropped Jamshed on 68. There was a flicker of hope for India when Ishant Sharma sent back Misbah-ul-Haq but Shoaib Malik steadied the ship. Jamshed went past his second ODI ton and helped Pakistan coast to a win.*,Pakistan won by 6 wkts,ODI,India vs Pakistan,4
"India's bowlers and fielders delivered the win. 168 wasn't a great score on this track but the fielders made it look like a score close to 200. There were a couple of missed chances - Dhoni dropped Misbah off Jadeja and Rahane dropped Hafeez off Ashwin, but those were rare blemishes on an otherwise great day on the field for India. Young Shami Ahmed and Bhuvneshwar Kumar set it up with a superb spell at the top, and the bowlers who followed just continued. Jadeja's 1/19 from 10 overs, Ishant's 3/36 and Ashwin's 2/47 say that it was a great teamwork from the bowlers.",India won by 10 runs,ODI,India vs Pakistan,5
The Man of the Match award went to Pujara but a lot of credit should go to Ojha as well. He was brilliant right through the game and ended up with 9 wickets in the match. India's pacers outshone their England counterparts as well. Umesh and Zaheer didn't get much out of the track but they troubled the batsmen with reverse swing. Spare a thought for Cook as well. He played a marathon knock but it wasn't enough to save the game.,India won by 9 wkts,Test,India vs England,4
"A straightforward win for the hosts despite missing many of their batting stars. A superb century from Hughes and outstanding batting efforts from Bailey and Hussey set them up for a huge score on the board. The bowlers then stood up, Tharanga and Mahela were dismissed cheaply, Dilshan and Chandimal steadied the ship before the calamitous run-out of Dilshan started the slide. Chandimal fought bravely for his 73 but got zero support at the other end.",Australia won by 107 runs,ODI,Australia vs Sri Lanka,2
It was a hard fought match but Sri Lanka came up well short. Philip Hughes' hundred proved to be a big difference in the end. Sri Lanka never had one batsman to hold an end up. Mahela Jayawardene promised much but fell too quickly. Mathews waged a lone battle for some time but it was not enough. Mahela will look back at his decision to bowl first too. It was definitely harder to bat as the game progressed. The Australian bowlers mixed it up very well. Xavier Doherty stood out and his 3 wickets broke the spine of the Sri Lankan batting.,Australia won by 32 runs,ODI,Australia vs Sri Lanka,2
"Pakistan have demolished South Africa here. The Proteas got off to a solid start as they raced to 50 in five overs. AB de Villers unfurled his Vil-Scoop and looked set to take the game away from Pakistan. Umar Gul came into the attack and he changed the complexion of the game. He took four wickets in seven balls as South Africa collapsed. The other bowlers, especially Mohammad Hafeez, ran through the tail and in the end, Pakistan have emerged victorious by a margin of 95 runs.",Pakistan won by 95 runs,T20,South Africa vs Pakistan,4
"A captain's knock from Misbah. He led the chase with his usual calmness and with a cool head. Hafeez gave them a decent start and Younis and Malik put together vital stands with Misbah. The match was set up by the bowlers though, and Pakistan will travel to the Wanderers on an even kneel. The South African bowlers toiled hard, but were let down by the batsmen as well as a wet ball.",Pakistan won by 6 wkts,ODI,South Africa vs Pakistan,2
"So a fantastic game of cricket comes to an end. Pakistan fought well throughout their innings but were just not good enough on the day, maybe a couple of more wickets in hand could have got them past the line. They got off to a good start with Mohammad Hafeez batting sensibly alongside Kamran Akmal before suddenly losing their way. Shahid Afridi raised hopes with a quickfire knock. Wahab Riaz batted really well but ran out of partners as Dale Steyn led the Proteas bowling line up with good support from the rest of the bowlers. Eventually they held their nerve to go 2-1 up in the 5-match series.",South Africa won by 34 runs,ODI,South Africa vs Pakistan,3
"The Durban jinx continues for the hosts. The bowlers fought hard but were let down by a below par score and their own profligacy with the extras. They had the visitors in trouble at 33/3 before a superb 153 run stand between Misbah and Farhat led Pakistan on the recovery path. Both batsmen missed out on their tons, Pakistan endured nervy times as usual before limping past the winning post.",Pakistan won by 3 wkts,ODI,South Africa vs Pakistan,3
"A complete hammering. West Indies just didn't turn up today. Only 33.1 overs were bowled today, which is less than a complete T20 game! This should completely demoralise the visitors. They were bowled out for just 70 in under 24 overs and Australia had no problems getting to the target. Glenn Maxwell had some fun in the middle and slogged his way to a half century, but the star of the day is undoubtedly Starc. His 5 for 20 completely blew away West Indies.",Australia won by 9 wkts,ODI,Australia vs Windies,2
"A convincing win in the end for Australia. Starc was the chief destroyer once again, picking up 5 wickets. He rocked the visitors early with 3 wickets. Powell resisted well with a wonderfully crafted 83, he was well supported by Dwayne Bravo who made an attractive 45. The duo added 126 runs for the 4th wicket but the visitors collapsed once Powell fell.",Australia won by 54 runs,ODI,Australia vs Windies,3
" 330 was a huge target but West Indies were in the game for a large part of the chase. The Bravos put on a century stand and set up a very good platform but the big hitters couldn't do much. Gayle failed, Pollard was run out, and that left a bit too much for the likes of Russell and Sammy. For Australia, it was Faulkner who was the pick of the bowlers. His double strike in the 38th over took the life out of the West Indies chase.",Australia won by 39 runs,ODI,Australia vs Windies,2
"A comfortable victory for Australia in the end. Their batsmen set it up led by the Man of the Match, Adam Voges. The chase was never going to be easy but West Indies began in earnest. Until the halfway point they were well and truly in the game. Johnson Charles' streaky 100 and Pollard's watchful innings gave them hope but neither could last till the end.",Australia won by 17 runs,ODI,Australia vs Windies,3
"Well with a mammoth score of over 200, the scoreboard pressure will always be telling on the side that is chasing. That was the case here as well as New Zealand, though for a brief moment looked like they were in the hunt, could never really build solid partnerships. Balls being skied to the fielder and credit to the England bowlers as well for banging the ball in and generating extra bounce. In the end skipper Stuart Broad led from the front with a four wicket haul and that pretty much sums up a fantastic day for England. ",England won by 40 runs,T20,New Zealand vs England,2
"New Zealand finish a superb win over the visitors after a blitzkreig by their skipper Brendon McCullum. England never looked in the game and struggled against the pace, bounce and swing of the pacers. Franklin came in at the end to sneak in a career best 4 wicket haul. If not for Buttler, England might not have even reached 100.",New Zealand won by 55 runs,T20,New Zealand vs England,2
"A convincing win for England after they lost the first match. They bowled well collectively, with Anderson leading the pack with a fifer. Chasing 270, they got off to a solid start with the skipper leading from the front with a solid half century. They lost the openers in the middle overs, but Trott and Root stitched a match winning partnership of 121 runs for the 3rd wicket. Root particularly impressed one and all with his range of shots and stayed unbeaten on 79 till the end.",England won by 8 wkts,ODI,New Zealand vs England,3
"England have dominated the whole match. After the bowlers put up a clinical performance, the batsmen played with a lot of maturity. Ian Bell started off well but fell in the pursuit of quick runs. Alastair Cook and Jonathan Trott shared a steady 67 run stand before Tim Southee sent both Trott and Cook back. Eoin Morgan batted aggressively to get England closer to the target, before Joe Root scored the winning runs. For New Zealand, only Southee and Andrew Ellis bowled well but the rest of the bowling lacked penetration.",England won by 5 wkts,ODI,New Zealand vs England,2
"So the West Indies take a 1-0 lead in this 3-match series. Zimbabwe were never really in the hunt, their top-order was blown away very quickly and ever since then there was no recovery from them even though malcolm Waller registered his 4th ODI fifty. Sunil Narine bagged three wickets, while Dwayne Bravo and Andre Russell bagged two each.",West Indies won by 156 runs,ODI,Windies vs Zimbabwe,1
"A clinical performance from West Indies has helped them win the 3-match series 3-0. Chasing a below par total of 212, they got off to a cautious start, but lost Sarwan early. But Darren Bravo played the sheet anchor role and stayed unbeaten on 72 till the end to see them through. Powell gave him a good company, but was again out to a loose shot. Mutombodzi and Mushangwe bowled well for Zimbabwe, but they didn't have a good total to defend.",West Indies won by 5 wkts,ODI,Windies vs Zimbabwe,2
"Yet another comfortable win for the West Indies, Zimbabwe were never really in the hunt, wickets at regular intervals pegged them back big time as the hosts swept the series 2-0.",West Indies won by 41 runs,T20,Windies vs Zimbabwe,1
"After all the drama with the floodlights, the second innings started and it was going only Sri Lanka's way. Janith Perera and Tillakaratne Dilshan started off with a bang and were going over ten runs per over. But even as the former departed, Dilshan combined well with Kumar Sangakkara and went onto make his 12th ODI hundred. In the end Sri Lanka registered an emphatic 8-wicket win as they eclipsed the D/L target with 32 balls to spare.",Sri Lanka won by 8 wkts,ODI,Sri Lanka vs Bangladesh,2
"What a match it turned out to be in the end after being interrupted by the rain and at one stage it looked like it will be called off. Chasing a revised target of 183, Bangladesh got off to a good start, but soon lost wickets in a heap. But Nasir held his nerve and stayed till the end to clinch a series levelling win for them. Sri Lanka fought hard, but the efforts of Malinga and Senanayake was not enough in the end to bring them back into the game.",Bangladesh won by 3 wkts,ODI,Sri Lanka vs Bangladesh,3
"So Sri Lanka hold onto their No.1 ranking in T20Is for this year. In the end, Bangladesh did well to come close to the Sri Lankan total and this was also their highest total batting second in T20Is. 199 was always going to be a tough chase, but Ashraful started off well with some big hits. Soon they lost wickets in a heap and once again it was Rahim who brought them back to the game with a responsible knock. Some tight bowling towards the end by the Sri Lankan bowlers made it difficult for Bangladesh and they fell short by 17 runs.",Sri Lanka won by 17 runs,T20,Sri Lanka vs Bangladesh,4
"A convincing win in the end for Bangladesh after they survived a top order failure to post a decent score. Bangladeshi seamers bowled a tight line and length to rip through the Zimbabwean top order, with only Taylor and Masakadza brothers offering some resistance. Ziaur Rahman was the wrecker-in-chief claiming his maiden 5-wicket haul to trigger the Zimbabwean collapse. But the credit must go to Nasir Hossain, who bailed Bangladesh out with a responsible knock after they were struggling at 94/4.",Bangladesh won by 121 runs,ODI,Zimbabwe vs Bangladesh,3
"An easy win for Zimbabwe in the end, sets up the decider on Wednesday. They bowled well to restrict Bangladesh for a decent total and also overcame a late onslasught by Razzak, who notched up a fastest fifty. They lost wickets initially, but Taylor and Williams' partnership got them back to the game, with Williams staying unbeaten till the end to help them level the series. Waller also supported him well and they romped home easily in the end winning by 6 wickets.",Zimbabwe won by 6 wkts,ODI,Zimbabwe vs Bangladesh,2
"What a turnaround for Zimbabwe after they were beaten badly in the 1st ODI by 121 runs. Their batsmen clicked as a unit in both the ODIs they have won and that helped them take the 3-match series 2-1. They bowled well initially as they were boltered by the addition of Vitori. He gave them a good start and struck twice in 2 balls to leave Bangladesh struggling. Mahmudullah's late onslaught helped them to post 247. Zimbabwe started the chase in an aggressive fashion, but lost Masakadza and Taylor in quick succession. But Sibanda played a dream innings and also posted his 2nd ODI ton in the process to help Zimbabwe win the match quite easily. Williams also chipped in with a quick-fire fifty and ensured Zimbabwe didn't face any further hiccup. ",Zimbabwe won by 7 wkts,ODI,Zimbabwe vs Bangladesh,3
"Brilliant win for Zimbabwe! Who would have thought they will win this one? At one stage, Bangladesh were cruising with Shakib and Shamshur on a rampage. But one over from Utseya changed it all and it all went downhill from there. They kept losing wickets at regular intervals, Mushfiqur had almost carried them home but he was caught off the first ball of the final over and it was all over for the visitors.",Zimbabwe won by 6 runs,T20,Zimbabwe vs Bangladesh,5
"Fantastic win for Bangladesh! They batted well to reach a competitive score and then bowled brilliantly to confound the hosts. Zimbabwe kept losing wickets at regular intervals and never really looked in control of the game. Shakib bowled a remarkable spell, he picked up Taylor and Shingi and then cleaned up the tail as well. Spinners did the job for the visitors to reduce Zimbabwe to 9 wickets. In the end, a comprehensive win for Bangladesh as they square the T20 series 1-1.",Bangladesh won by 34 runs,T20,Zimbabwe vs Bangladesh,2
"A comprehensive victory in the end. England never looked like they would chase this score down. Only Trott stood amongst the ruins and compiled a century, but the match was lost way before that. New Zealand were professional with the ball and took all their chances in the field. They have now got a 2-0 series lead and will look for a whitewash at Trent Bridge.",New Zealand won by 86 runs,ODI ,England vs New Zealand,2
"New Zealand would be thinking about their last five overs with the ball and the middle-order collapse with the bat. Guptill started off on a positive note, but the visitors suddenly lost track of their chase. England did really well to put pressure on the New Zealand batsmen with some fine bowling. In the end, it was too much for Taylor as he ran out of partners. ",England won by 34 runs,ODI,England vs New Zealand,2
"What a game of cricket we've had tonight. England were right in the chase from the word go. Openers Lumb and Hales got them off to a blazing start. Luke Wright continued the good work and got to his fifty. But the visitors chipped in at regular intervals to keep a check on the run flow. It was down to 35 from the last 3 overs thanks to a cameo from Bopara. But he was left stranded at the other end as Nathan McCullum, Ian Butler and Corey Anderson did the job for the Kiwis in the final overs and helped their side take an unassailable 1-0 lead in the 2-match T20I series.",New Zealand won by 5 runs,T20,England vs New Zealand,5
"What an amazing match this turned out to be in the end. There were lots of stoppages due to rain in the 1st innings and the match was reduced to 47 overs. Despite a tough D/L adjusted target, Ireland fought well, thanks to a superb century from Stirling and some amazing hitting by Kevin O'Brien helped them come closer to the Pak total and they just prevailed in the end by 1 run. Pakistani bowling was horrible and even their experienced spinner, Ajmal went for 71 runs in his 10 overs.",Match tied (D/L method),ODI,Ireland vs Pakistan,5
"Chris Gayle has once again stolen the show at his home ground with a power-packed display. His 115 run stand with Johnson Charles laid the foundation for their win. Gayle notched up his 21st ODI century and his first against Sri Lanka. Although the Lankans came back with a couple of quick wickets, West Indies were firmly in the driver's seat and they managed to seal victory with a bonus point as they chased the target down in less than 40 overs.",West Indies won by 6 wkts,ODI,Windies vs Sri Lanka,5
"Kudos to West Indies. They did a great job of restricting the strong Indian batting line-up to an average score. Later, thanks to Charles, their innings went through smoothly before a few brain fades made the match interesting. The birthday boy Kemar Roach kept his cool and played calmly to escort his side to safety. India will not exactly be displeased with this act. Despite the absence of their skipper MS Dhoni, they battled hard, led by the aggressive Virat Kohli who rotated his bowlers and fielders admirably.",West Indies won by 1 wkt,ODI,Windies vs India,4
"India showed no intent whatsoever in this chase. By the end of 10 overs, India were crawling around at a run-rate just under three. They kept on losing wickets and only Ravindra Jadeja showed some character with an unbeaten 49. Herath and Senanayake chipped in with wickets at crucial intervals as Sri Lanka rounded off the perfect day in style. ",Sri Lanka won by 161 runs,ODI,India vs Sri Lanka,1
"Kohli has registered his first win as skipper. West Indies were already on the back foot when the rain delay shelved some overs off. Chasing 274 for an unlikely win and 219 to deny India the bonus point, Umesh Yadav and Ishant Sharma ripped through the middle order. Roach and Narine delayed the inevitable with a 58 run stand but Jadeja took the remaining wickets to seal a massive 102 run victory. India's victory has given them the bonus point and the tournament is now wide open.",India won by 102 runs (D/L Method),ODI,Windies vs India,2
"West Indies started off very slowly as Eranga and Mathews bowled with discipline. However, a 123 run stand between Simmons and Darren Bravo gave West Indies some hope with both batsmen notching up gritty half centuries. However, with their departures, West Indies fell behind but they ensured Sri Lanka did not concede the bonus point. Mathews was the star for Sri Lanka with 4/29 as his team performed admirably.",Sri Lanka won by 39 runs (D/L method),ODI,Windies vs Sri Lanka,2
